A pictogram figure with both arms raised high above head in celebration pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting hunched forward with head down showing sadness, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure leaning forward aggressively with clenched fists showing anger, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure stepping backward with hands up defensively showing fear, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure jumping with arms spread wide in surprise, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure turning away with one hand pushing outward showing rejection, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing with hand on chin in thinking pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing tall with arms crossed on chest showing confidence, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure with drooping shoulders and head tilted down showing shame, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure pacing with hands clasped nervously showing anxiety, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting cross-legged with open palms showing peace, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
