A small figure expressing joy with arms raised above head in celebration, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting hunched over with head in hands showing sadness, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with clenched fists and aggressive forward-leaning posture showing anger, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure stepping back with hands up in a defensive scared pose, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure jumping back with arms spread wide in surprise, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure turning away with one hand pushing outward showing rejection, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure standing still with hand on chin in a thinking pose, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure standing tall with arms crossed and chest out showing confidence, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure looking down with drooping shoulders showing shame, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure pacing with hands clasped together showing anxiety, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting cross-legged with palms open showing calm and peace, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure looking upward with one hand reaching toward the sky showing hope, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure leaning on a wall barely standing showing exhaustion, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in a power stance with fist pumped showing determination, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure scratching head with tilted body showing confusion, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting alone hugging knees showing loneliness, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure bouncing on toes with arms waving showing excitement, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
